stop_id,stop_name,stop_desc,stop_lat,stop_lon
7053,"Muzeul Culturii Romilor","Drumul Sabareni, Bucuresti",44.474261,26.013842
6357,"Podul Ilfovat","Drumul Sabareni, Bucuresti",44.47265,26.017749
6002,"Cartier 16 Februarie","Calea Giulesti, Bucuresti",44.470054,26.022471
7701,"Drumul La Rosu","Calea Giulesti, Bucuresti",44.46937,26.025361
6175,"Institutul Pasteur","Calea Giulesti, Bucuresti",44.468591,26.027983
6352,"Copsa Mica","Calea Giulesti, Bucuresti",44.467355,26.031903
6177,"Piata Giulesti","Calea Giulesti, Bucuresti",44.466367,26.035085
6343,"Godeni","Calea Giulesti, Bucuresti",44.464638,26.039021
6171,"Bd. Constructorilor","Bd. Constructorilor, Bucuresti",44.462094,26.040737
9024,"Liceul Teoretic Marin Preda","Bd. Constructorilor",44.459274,26.040248
6612,"Complex Comercial","Bd. Constructorilor, Bucuresti",44.457519,26.041563
6173,"Mehadiei","Bd. Constructorilor, Bucuresti",44.455832,26.043225
7470,"Calea Crangasi","Bd. Constructorilor, Bucuresti",44.453378,26.045641
7378,"Piata Crangasi","Sos. Virtutii, Bucuresti",44.452265,26.047441
7507,"Bd. Ceahlau","Sos. Crangasi, Bucuresti",44.453638,26.052968
7379,"Pasaj Grant","Calea Giulesti, Bucuresti",44.452275,26.05817
7380,"Spitalul Dr. Panait Sarbu","Calea Giulesti, Bucuresti",44.449487,26.061745
6920,"Witing","Calea Plevnei, Bucuresti",44.442913,26.071147
6932,"Pascal Cristian","Bd. Regiei, Bucuresti",44.446329,26.056845
6934,"Tibles","Pascal Cristian, Bucuresti",44.449984,26.055111
7516,"Bd. Ceahlau","Sos. Crangasi, Bucuresti",44.453659,26.051183
7373,"Piata Crangasi","Sos. Virtutii, Bucuresti",44.453075,26.04824
7466,"Calea Crangasi","Bd. Constructorilor, Bucuresti",44.45287,26.046415
6148,"Mehadiei","Bd. Constructorilor, Bucuresti",44.456458,26.042852
6614,"Complex Comercial","Bd. Constructorilor, Bucuresti",44.458081,26.041235
9025,"Liceul Teoretic Marin Preda","Bd. Constructorilor",44.459603,26.040403
6147,"Bd. Constructorilor","Calea Giulesti, Bucuresti",44.463491,26.04138
6339,"Godeni","Calea Giulesti, Bucuresti",44.465154,26.038339
6202,"Piata Giulesti","Calea Giulesti, Bucuresti",44.466485,26.03492
6342,"Copsa Mica","Calea Giulesti, Bucuresti",44.467696,26.031087
6204,"Institutul Pasteur","Calea Giulesti, Bucuresti",44.468789,26.027609
7702,"Drumul La Rosu","Calea Giulesti, Bucuresti",44.469437,26.025449
5992,"Cartier 16 Februarie","Calea Giulesti, Bucuresti",44.470319,26.021525
6356,"Podul Ilfovat","Drumul Sabareni, Bucuresti",44.473089,26.017178
